tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13089023211,"Census Tract 232.11, DeKalb County, Georgia",3795.0,58938.0,134400.0,828.0,1336,883,453,45.0,170.0,3480.0,3876.0,369.0,0.0952012383900928,2000,9.687952065349064,0.0,0.0,0.0,0.04479578392621871,0.9169960474308301,0.011857707509881422,0.33907185628742514
13089023212,"Census Tract 232.12, DeKalb County, Georgia",3878.0,58700.0,116800.0,772.0,1335,998,337,79.0,229.0,3485.0,3787.0,163.0,0.0430419857406918,2000,10.535479207074028,0.0,0.0,0.0,0.0590510572460031,0.8986591026302218,0.02037132542547705,0.2524344569288389
13089023410,"Census Tract 234.10, DeKalb County, Georgia",4493.0,31286.0,94100.0,658.0,1679,375,1304,68.0,82.0,4274.0,4402.0,572.0,0.1299409359382099,2000,5.1865499196089955,0.0,0.0,0.0,0.018250612063209437,0.9512575116848431,0.015134653906076118,0.7766527695056581
13089023411,"Census Tract 234.11, DeKalb County, Georgia",4380.0,45112.0,87500.0,640.0,1466,1039,427,49.0,82.0,4210.0,4342.0,399.0,0.0918931368033164,2000,4.462959437920646,0.0,0.0,0.0,0.01872146118721461,0.9611872146118722,0.011187214611872146,0.291268758526603
13089023413,"Census Tract 234.13, DeKalb County, Georgia",4053.0,65342.0,118800.0,828.0,1315,1240,75,38.0,308.0,3641.0,4044.0,174.0,0.043026706231454,2000,7.504048456181043,0.0,0.0,0.0,0.07599309153713299,0.8983469035282506,0.009375771033802122,0.057034220532319393
13089023501,"Census Tract 235.01, DeKalb County, Georgia",3688.0,30927.0,71600.0,744.0,1213,811,402,47.0,156.0,3443.0,3674.0,941.0,0.2561241154055525,2000,5.135830996446754,0.0,0.0,0.0,0.04229934924078091,0.9335683297180043,0.01274403470715835,0.3314097279472383
13089023504,"Census Tract 235.04, DeKalb County, Georgia",4482.0,39010.0,82900.0,588.0,1522,697,825,34.0,80.0,4333.0,4441.0,531.0,0.1195676649403287,2000,5.076435077235802,0.0,0.0,0.0,0.0178491744756805,0.966755912539045,0.007585899152164213,0.5420499342969777
13089023505,"Census Tract 235.05, DeKalb County, Georgia",3362.0,40313.0,85400.0,606.0,1029,863,166,14.0,109.0,3202.0,3362.0,337.0,0.1002379535990481,2000,5.819951394434023,0.0,0.0,0.0,0.03242117787031529,0.9524092801903629,0.004164187983343248,0.16132167152575316
13089023506,"Census Tract 235.06, DeKalb County, Georgia",7485.0,48517.0,99300.0,672.0,2325,1592,733,76.0,304.0,7009.0,7251.0,675.0,0.0930906081919735,2000,6.849542922795423,0.0,0.0,0.0,0.040614562458249834,0.9364061456245825,0.010153640614562458,0.31526881720430106
13089023507,"Census Tract 235.07, DeKalb County, Georgia",4672.0,49286.0,89100.0,750.0,1536,1245,291,45.0,346.0,4206.0,4604.0,238.0,0.0516941789748045,2000,7.9070647719584155,0.0,0.0,0.0,0.0740582191780822,0.9002568493150684,0.009631849315068493,0.189453125
13089023601,"Census Tract 236.01, DeKalb County, Georgia",3108.0,30625.0,76200.0,617.0,999,691,308,55.0,125.0,2886.0,3013.0,531.0,0.1762363093262529,2000,3.46120768466554,0.0,0.0,0.0,0.04021879021879022,0.9285714285714286,0.017696267696267698,0.3083083083083083
13089023602,"Census Tract 236.02, DeKalb County, Georgia",2912.0,37083.0,83600.0,674.0,923,684,239,22.0,47.0,2807.0,2918.0,351.0,0.1202878684030157,2000,3.553328640106084,0.0,0.0,0.0,0.016140109890109892,0.9639423076923077,0.007554945054945055,0.2589382448537378
13089023603,"Census Tract 236.03, DeKalb County, Georgia",4435.0,40298.0,83100.0,651.0,1382,857,525,26.0,99.0,4244.0,4501.0,621.0,0.1379693401466341,2000,4.418414741519023,0.0,0.0,0.0,0.022322435174746337,0.9569334836527621,0.005862457722660654,0.37988422575976843
13089023801,"Census Tract 238.01, DeKalb County, Georgia",4840.0,35102.0,91200.0,649.0,1593,971,622,198.0,443.0,4113.0,4819.0,1095.0,0.2272255654700145,2000,1.5858994409360596,0.0,0.0,1.0,0.09152892561983471,0.849793388429752,0.04090909090909091,0.39045825486503455
13089023802,"Census Tract 238.02, DeKalb County, Georgia",4483.0,25428.0,90100.0,613.0,1291,433,858,134.0,749.0,3545.0,3763.0,896.0,0.238107892638852,2000,2.8814385297080416,0.0,0.0,1.0,0.1670756190051305,0.7907651126477805,0.029890698193174213,0.6646010844306739
